sim_num,max_danger,avg_danger,interactions,lane_switch_interactions,tailgating_interactions,goals_not_reached,collisions,emergency_maneuvers,avg_velocity,overall_steps,number_egos
139,14.690591114055415,3.5552273119078768,13,13,0,2,0,14,12.717179199589456,88,4
140,15.592506446213935,4.49431086597242,9,9,0,2,0,11,11.707441617431245,129,5
141,16.01719863180302,4.718518095667399,8,8,0,2,0,11,11.736668033485568,129,5
142,27.07908544622371,4.717893173463617,12,12,0,2,0,13,11.798105561215012,121,5
143,24.012207702762154,16.148491268877624,8,8,0,3,1,8,14.709220726192779,51,4
144,13.563876416279971,2.658865361962718,8,8,0,2,0,10,10.599724608115666,121,4
145,23.9742232574576,16.1357284968105,8,8,0,3,1,8,14.709220726192779,51,4
146,27.150466363797037,4.556653281065342,14,14,0,2,0,13,12.70806500370467,121,5
147,27.150466363797037,4.556653281065342,14,14,0,2,0,13,12.70806500370467,121,5
148,15.861767235376204,3.9880580316062817,5,5,0,2,0,11,12.38408540621112,140,5
149,6.3534532944221445,2.396014904165504,2,2,0,1,0,5,12.164690527681355,99,4
150,27.150466363797037,4.556653281065342,14,14,0,2,0,13,12.70806500370467,121,5
151,27.150466363797037,4.556653281065342,14,14,0,2,0,13,12.70806500370467,121,5
152,14.34761738854566,3.3419538029815823,4,4,0,2,0,10,13.709174219335603,88,4
153,13.970103397253624,2.814296234966997,4,4,0,1,0,5,14.24548732694439,86,3
154,21.523218188710782,4.799963557079051,3,3,0,2,0,10,12.771361267856925,121,5
155,5.693582201223201,2.426912438776925,2,2,0,1,0,5,11.120043282992247,135,4
156,16.257805176941098,4.52516978679839,11,11,0,2,0,11,12.152663337802966,129,5
157,24.045604175030924,16.218674981610658,8,8,0,3,1,8,15.651407898937283,51,4
158,23.68224654731271,4.555378787456904,12,12,0,2,0,13,13.379993491060073,121,5
159,13.635257333853298,2.726387459384311,8,8,0,2,0,10,11.609210864627633,121,4
160,16.328655200480164,4.615930176754155,10,10,0,2,0,11,12.43479369587414,129,5
161,14.34761738854566,3.3419538029815823,4,4,0,2,0,10,13.709174219335603,88,4
162,26.220265805355197,4.0259919184092094,12,12,0,1,0,8,12.735331875242906,121,4
163,13.782828422674493,2.872559017931408,12,12,0,2,0,10,14.093040378601767,121,4
164,27.150466363797037,4.556653281065342,14,14,0,2,0,13,12.70806500370467,121,5
165,16.601241966606228,4.555011558807813,7,7,0,2,0,11,13.010398079753944,129,5
166,27.150466363797037,4.556653281065342,14,14,0,2,0,13,12.70806500370467,121,5
167,13.635257333853298,2.726387459384311,8,8,0,2,0,10,11.609210864627633,121,4
168,24.045604175030924,16.218674981610658,8,8,0,3,1,8,15.651407898937283,51,4
169,5.7676709766722105,2.471911991725295,2,2,0,1,0,5,11.121185761545792,134,4
170,12.564688544146797,2.687109685510222,7,7,0,2,0,11,11.573137153967114,137,4
171,12.530980236923387,4.9614086039192005,4,4,0,3,0,15,14.45223899324416,121,4
172,14.592221781040877,3.4157998164586427,13,13,0,2,0,14,13.738615760695644,88,4
173,27.863300050838603,5.735005417292394,14,14,0,2,0,13,11.529210810502361,121,6
174,15.62928878852352,5.359248963248354,18,18,0,2,0,15,10.366763337950935,126,6
